batch,loss,accuracy,time,memory_allocated,memory_reserved
0,0.032308660447597504,0.9921875,0.00505828857421875,89.30126953125,226.0
1,0.05198057368397713,0.96875,0.0070574283599853516,89.30126953125,226.0
2,0.03167450428009033,0.984375,0.009057044982910156,89.30126953125,226.0
3,0.027844855561852455,0.9765625,0.012120246887207031,89.30126953125,226.0
4,0.05488013103604317,0.96875,0.013119935989379883,89.30126953125,226.0
5,0.027343574911355972,0.984375,0.015120744705200195,89.30126953125,226.0
6,0.02907973900437355,0.984375,0.01812124252319336,89.30126953125,226.0
7,0.03317287564277649,1.0,0.02012038230895996,89.30126953125,226.0
8,0.04101892560720444,0.96875,0.022330284118652344,89.30126953125,226.0
9,0.028164971619844437,0.9921875,0.024330615997314453,89.30126953125,226.0
10,0.014213851653039455,0.9921875,0.026330232620239258,89.30126953125,226.0
11,0.0498991385102272,0.9765625,0.028330564498901367,89.30126953125,226.0
12,0.013212092220783234,0.9921875,0.030330181121826172,89.30126953125,226.0
13,0.05147998780012131,0.9765625,0.03235173225402832,89.30126953125,226.0
14,0.024915434420108795,0.9921875,0.034351348876953125,89.30126953125,226.0
15,0.03921496868133545,0.9921875,0.03635287284851074,89.30126953125,226.0
16,0.023341741412878036,1.0,0.0393521785736084,89.30126953125,226.0
17,0.02347687818109989,0.984375,0.04135251045227051,89.30126953125,226.0
18,0.03296111896634102,0.9921875,0.04338335990905762,89.30126953125,226.0
19,0.08139142394065857,0.96875,0.04538297653198242,89.30126953125,226.0
20,0.03849709779024124,0.9921875,0.04738306999206543,89.30126953125,226.0
21,0.05197509378194809,0.9765625,0.04938817024230957,89.30126953125,226.0
22,0.053932514041662216,0.9765625,0.05289435386657715,89.30126953125,226.0
23,0.046382199972867966,0.984375,0.05489516258239746,89.30126953125,226.0
24,0.055381666868925095,0.9609375,0.057894229888916016,89.30126953125,226.0
25,0.03257253021001816,0.9921875,0.05989360809326172,89.30126953125,226.0
26,0.018022671341896057,0.9921875,0.0634009838104248,89.30126953125,226.0
27,0.026616228744387627,0.9921875,0.06606245040893555,89.30126953125,226.0
28,0.07553545385599136,0.984375,0.06871604919433594,89.30126953125,226.0
29,0.04083842411637306,0.96875,0.07040524482727051,89.30126953125,226.0
30,0.04830159246921539,0.984375,0.07440447807312012,89.30126953125,226.0
31,0.024362169206142426,0.9921875,0.07802152633666992,89.30126953125,226.0
32,0.03240509331226349,0.9921875,0.08069038391113281,89.30126953125,226.0
33,0.04208305478096008,0.984375,0.0828714370727539,89.30126953125,226.0
34,0.03397355228662491,0.9921875,0.08494400978088379,89.30126953125,226.0
35,0.04547657445073128,0.9765625,0.08759045600891113,89.30126953125,226.0
36,0.023996133357286453,0.9921875,0.08914875984191895,89.30126953125,226.0
37,0.020637160167098045,0.9921875,0.0912313461303711,89.30126953125,226.0
38,0.05400323495268822,0.9765625,0.09340858459472656,89.30126953125,226.0
39,0.03089701011776924,0.984375,0.09496760368347168,89.30126953125,226.0
40,0.044355928897857666,0.9765625,0.0976407527923584,89.30126953125,226.0
41,0.03415617719292641,0.984375,0.09920120239257812,89.30126953125,226.0
42,0.03237312287092209,0.9921875,0.1012887954711914,89.30126953125,226.0
43,0.02596253901720047,0.9921875,0.10235881805419922,89.30126953125,226.0
44,0.021389499306678772,0.9921875,0.10436224937438965,89.30126953125,226.0
45,0.043046802282333374,0.9765625,0.10736274719238281,89.30126953125,226.0
46,0.03693121671676636,0.9765625,0.10936164855957031,89.30126953125,226.0
47,0.010390818119049072,1.0,0.11136198043823242,89.30126953125,226.0
48,0.030701398849487305,0.9921875,0.1143944263458252,89.30126953125,226.0
49,0.03108879178762436,0.984375,0.1163949966430664,89.30126953125,226.0
50,0.035520099103450775,0.984375,0.1183936595916748,89.30126953125,226.0
51,0.06374534219503403,0.9609375,0.12139534950256348,89.30126953125,226.0
52,0.034834712743759155,0.9921875,0.12343025207519531,89.30126953125,226.0
53,0.025044161826372147,0.9921875,0.12442946434020996,89.30126953125,226.0
54,0.039338618516922,0.9765625,0.12642979621887207,89.30126953125,226.0
55,0.025603819638490677,0.984375,0.12943077087402344,89.30126953125,226.0
56,0.019933443516492844,1.0,0.13142991065979004,89.30126953125,226.0
57,0.018595583736896515,1.0,0.13249778747558594,89.30126953125,226.0
58,0.02173369564116001,1.0,0.13449788093566895,89.30126953125,226.0
59,0.024618681520223618,0.9921875,0.1374971866607666,89.30126953125,226.0
60,0.008100653067231178,1.0,0.13869261741638184,89.30126953125,226.0
61,0.044854503124952316,0.984375,0.14119625091552734,89.30126953125,226.0
62,0.031664326786994934,1.0,0.14320063591003418,89.30126953125,226.0
63,0.020786184817552567,1.0,0.14577245712280273,89.30126953125,226.0
64,0.04280677065253258,0.96875,0.1467733383178711,89.30126953125,226.0
65,0.04836616665124893,0.984375,0.14977264404296875,89.30126953125,226.0
66,0.044466592371463776,0.96875,0.1512753963470459,89.30126953125,226.0
67,0.024606306105852127,0.9921875,0.15227866172790527,89.30126953125,226.0
68,0.007464658934623003,1.0,0.15427851676940918,89.30126953125,226.0
69,0.038093049079179764,0.9921875,0.1562786102294922,89.30126953125,226.0
70,0.030008867383003235,0.9921875,0.158278226852417,89.30126953125,226.0
71,0.021805744618177414,1.0,0.1602778434753418,89.30126953125,226.0
72,0.009551873430609703,1.0,0.16344404220581055,89.30126953125,226.0
73,0.0668422132730484,0.96875,0.16544389724731445,89.30126953125,226.0
74,0.06144397705793381,0.9765625,0.1664435863494873,89.30126953125,226.0
75,0.030817724764347076,0.9921875,0.16844391822814941,89.30126953125,226.0
76,0.058361880481243134,0.984375,0.17144417762756348,89.30126953125,226.0
77,0.004956163000315428,1.0,0.17252540588378906,89.30126953125,226.0
78,0.016025640070438385,1.0,0.17452430725097656,89.30126953125,226.0
79,0.07501301169395447,0.984375,0.17652535438537598,89.30126953125,226.0
80,0.04242917522788048,0.9921875,0.17858576774597168,89.30126953125,226.0
81,0.030005842447280884,0.984375,0.18108725547790527,89.30126953125,226.0
82,0.039531659334897995,0.9921875,0.183091402053833,89.30126953125,226.0
83,0.010676277801394463,1.0,0.1850903034210205,89.30126953125,226.0
84,0.025259967893362045,0.984375,0.18709063529968262,89.30126953125,226.0
85,0.041557058691978455,0.984375,0.18809032440185547,89.30126953125,226.0
86,0.025103921070694923,0.984375,0.19027090072631836,89.30126953125,226.0
87,0.023370278999209404,1.0,0.19253063201904297,89.30126953125,226.0
88,0.008427487686276436,1.0,0.19453072547912598,89.30126953125,226.0
89,0.0900919958949089,0.9765625,0.19653010368347168,89.30126953125,226.0
90,0.024169718846678734,0.984375,0.198530912399292,89.30126953125,226.0
91,0.024870116263628006,1.0,0.20103693008422852,89.30126953125,226.0
92,0.02337873913347721,0.9921875,0.20259523391723633,89.30126953125,226.0
93,0.02627917006611824,0.9921875,0.20459437370300293,89.30126953125,226.0
94,0.04557786136865616,0.96875,0.20659255981445312,89.30126953125,226.0
95,0.09720199555158615,0.96875,0.20859289169311523,89.30126953125,226.0
96,0.025202812626957893,0.984375,0.21109700202941895,89.30126953125,226.0
97,0.08337277173995972,0.9765625,0.21310186386108398,89.30126953125,226.0
98,0.01957300305366516,1.0,0.21510052680969238,89.30126953125,226.0
99,0.028740519657731056,0.984375,0.21610093116760254,89.30126953125,226.0
100,0.033762045204639435,0.984375,0.2191028594970703,89.30126953125,226.0
101,0.0317964069545269,0.9765625,0.2211000919342041,89.30126953125,226.0
102,0.02850647270679474,0.9921875,0.2231605052947998,89.30126953125,226.0
103,0.030870065093040466,0.9921875,0.2251598834991455,89.30126953125,226.0
104,0.040681205689907074,0.984375,0.2271590232849121,89.30126953125,226.0
105,0.01647712104022503,1.0,0.22915935516357422,89.30126953125,226.0
106,0.03570816293358803,0.9765625,0.23015975952148438,89.30126953125,226.0
107,0.006282999645918608,1.0,0.2322072982788086,89.30126953125,226.0
108,0.02533099427819252,1.0,0.2342052459716797,89.30126953125,226.0
109,0.03639425337314606,0.9921875,0.2362048625946045,89.30126953125,226.0
110,0.028899777680635452,0.9921875,0.2382049560546875,89.30126953125,226.0
111,0.053418517112731934,0.9921875,0.24120497703552246,89.30126953125,226.0
112,0.08517387509346008,0.9609375,0.24323534965515137,89.30126953125,226.0
113,0.05013424530625343,0.984375,0.24423527717590332,89.30126953125,226.0
114,0.022107351571321487,1.0,0.24723553657531738,89.30126953125,226.0
115,0.029072754085063934,0.9921875,0.24923443794250488,89.30126953125,226.0
116,0.03512362390756607,0.9921875,0.25023436546325684,89.30126953125,226.0
117,0.02471105568110943,0.984375,0.25228261947631836,89.30126953125,226.0
118,0.06862974166870117,0.984375,0.2542853355407715,89.30126953125,226.0
119,0.04867268353700638,0.9765625,0.2562854290008545,89.30126953125,226.0
120,0.05702624469995499,0.9921875,0.2582848072052002,89.30126953125,226.0
121,0.06042196601629257,0.96875,0.2602856159210205,89.30126953125,226.0
122,0.03955521807074547,0.984375,0.26128506660461426,89.30126953125,226.0
123,0.02558361180126667,0.9921875,0.2634124755859375,89.30126953125,226.0
124,0.014721236191689968,1.0,0.2654116153717041,89.30126953125,226.0
125,0.016128133982419968,0.9921875,0.2674129009246826,89.30126953125,226.0
126,0.023280885070562363,0.9921875,0.2694125175476074,89.30126953125,226.0
127,0.03739013522863388,0.984375,0.27141237258911133,89.30126953125,226.0
128,0.04289047047495842,0.984375,0.27350306510925293,89.30126953125,226.0
129,0.015965521335601807,0.9921875,0.2755002975463867,89.30126953125,226.0
130,0.021806489676237106,0.9921875,0.2774996757507324,89.30126953125,226.0
131,0.01387065090239048,1.0,0.27857422828674316,89.30126953125,226.0
132,0.04031937196850777,0.984375,0.2810783386230469,89.30126953125,226.0
133,0.023508012294769287,0.9921875,0.2830822467803955,89.30126953125,226.0
134,0.050630103796720505,0.9765625,0.28408169746398926,89.30126953125,226.0
135,0.039092645049095154,0.984375,0.28608250617980957,89.30126953125,226.0
136,0.03063534013926983,0.9921875,0.28808164596557617,89.30126953125,226.0
137,0.023998942226171494,0.9921875,0.2900817394256592,89.30126953125,226.0
138,0.011758888140320778,1.0,0.29108214378356934,89.30126953125,226.0
139,0.02641197293996811,0.9921875,0.2931056022644043,89.30126953125,226.0
