batch,loss,accuracy,time,memory_allocated,memory_reserved
0,0.08430422842502594,0.9921875,0.006027936935424805,89.30126953125,226.0
1,0.021965928375720978,0.984375,0.008023738861083984,89.30126953125,226.0
2,0.010927077382802963,1.0,0.010024547576904297,89.30126953125,226.0
3,0.015531150624155998,0.9921875,0.01152801513671875,89.30126953125,226.0
4,0.026931678876280785,0.9921875,0.014035463333129883,89.30126953125,226.0
5,0.011918459087610245,1.0,0.016042232513427734,89.30126953125,226.0
6,0.01728641800582409,1.0,0.018038511276245117,89.30126953125,226.0
7,0.021700959652662277,0.9921875,0.01903843879699707,89.30126953125,226.0
8,0.014254022389650345,1.0,0.021543025970458984,89.30126953125,226.0
9,0.011508004739880562,0.9921875,0.022542238235473633,89.30126953125,226.0
10,0.04587411507964134,0.984375,0.025589704513549805,89.30126953125,226.0
11,0.022826457396149635,0.984375,0.02659296989440918,89.30126953125,226.0
12,0.014872955158352852,0.9921875,0.02859354019165039,89.30126953125,226.0
13,0.06916509568691254,0.96875,0.031096696853637695,89.30126953125,226.0
14,0.04039691388607025,0.9765625,0.03210020065307617,89.30126953125,226.0
15,0.013076129369437695,1.0,0.0346064567565918,89.30126953125,226.0
16,0.014753826893866062,0.9921875,0.036606550216674805,89.30126953125,226.0
17,0.029051288962364197,0.9921875,0.03860664367675781,89.30126953125,226.0
18,0.023826204240322113,0.9921875,0.03960752487182617,89.30126953125,226.0
19,0.007966583594679832,1.0,0.0421147346496582,89.30126953125,226.0
20,0.028967704623937607,0.9765625,0.04462695121765137,89.30126953125,226.0
21,0.047159887850284576,0.9921875,0.045623779296875,89.30126953125,226.0
22,0.05783291906118393,0.96875,0.04762458801269531,89.30126953125,226.0
23,0.020710114389657974,1.0,0.049623727798461914,89.30126953125,226.0
24,0.02206660434603691,0.9921875,0.05112743377685547,89.30126953125,226.0
25,0.03719772398471832,0.9765625,0.05363583564758301,89.30126953125,226.0
26,0.03648470714688301,0.9765625,0.05564308166503906,89.30126953125,226.0
27,0.03519792854785919,0.984375,0.05764007568359375,89.30126953125,226.0
28,0.013037368655204773,1.0,0.05964016914367676,89.30126953125,226.0
29,0.03269920498132706,0.9921875,0.06114554405212402,89.30126953125,226.0
30,0.03369556739926338,0.984375,0.06365585327148438,89.30126953125,226.0
31,0.02253517508506775,0.984375,0.06566143035888672,89.30126953125,226.0
32,0.020188335329294205,0.9921875,0.06766557693481445,89.30126953125,226.0
33,0.01131661981344223,1.0,0.06966519355773926,89.30126953125,226.0
34,0.04632848873734474,0.9765625,0.07116889953613281,89.30126953125,226.0
35,0.03609263896942139,0.96875,0.07367920875549316,89.30126953125,226.0
36,0.04487449303269386,0.96875,0.0751957893371582,89.30126953125,226.0
37,0.024242550134658813,1.0,0.07720112800598145,89.30126953125,226.0
38,0.015188265591859818,0.9921875,0.07920074462890625,89.30126953125,226.0
39,0.01808200031518936,0.9921875,0.08119845390319824,89.30126953125,226.0
40,0.020544376224279404,0.9921875,0.08220028877258301,89.30126953125,226.0
41,0.007461897097527981,1.0,0.08470487594604492,89.30126953125,226.0
42,0.03233461081981659,0.984375,0.08670568466186523,89.30126953125,226.0
43,0.03118027187883854,0.9921875,0.08921527862548828,89.30126953125,226.0
44,0.03747391328215599,0.984375,0.09071779251098633,89.30126953125,226.0
45,0.03743928670883179,0.96875,0.09272027015686035,89.30126953125,226.0
46,0.021140892058610916,0.9921875,0.0942234992980957,89.30126953125,226.0
47,0.009310364723205566,1.0,0.09622669219970703,89.30126953125,226.0
48,0.01610841043293476,0.9921875,0.09722685813903809,89.30126953125,226.0
49,0.05031127855181694,0.984375,0.10023140907287598,89.30126953125,226.0
50,0.011612790636718273,1.0,0.10223054885864258,89.30126953125,226.0
51,0.023309333249926567,0.9921875,0.10430669784545898,89.30126953125,226.0
52,0.03326486796140671,0.984375,0.10631060600280762,89.30126953125,226.0
53,0.024002820253372192,0.9921875,0.10830998420715332,89.30126953125,226.0
54,0.014651867561042309,0.9921875,0.10931086540222168,89.30126953125,226.0
55,0.02105286344885826,0.9921875,0.11131095886230469,89.30126953125,226.0
56,0.050233807414770126,0.984375,0.1138153076171875,89.30126953125,226.0
57,0.07551893591880798,0.984375,0.11581969261169434,89.30126953125,226.0
58,0.06200513616204262,0.96875,0.11681938171386719,89.30126953125,226.0
59,0.03781256079673767,0.984375,0.1188197135925293,89.30126953125,226.0
60,0.0101868761703372,0.9921875,0.12132501602172852,89.30126953125,226.0
61,0.020329337567090988,0.9921875,0.1223292350769043,89.30126953125,226.0
62,0.008764085359871387,1.0,0.12483668327331543,89.30126953125,226.0
63,0.010634031146764755,1.0,0.12683582305908203,89.30126953125,226.0
64,0.027243539690971375,0.9921875,0.12883687019348145,89.30126953125,226.0
65,0.013357182964682579,1.0,0.1298367977142334,89.30126953125,226.0
66,0.07760118693113327,0.984375,0.13234305381774902,89.30126953125,226.0
67,0.03139663115143776,0.984375,0.13485121726989746,89.30126953125,226.0
68,0.01292361132800579,0.9921875,0.13685345649719238,89.30126953125,226.0
69,0.04561007767915726,0.9765625,0.13859200477600098,89.30126953125,226.0
70,0.023890826851129532,0.984375,0.14070606231689453,89.30126953125,226.0
71,0.010477906093001366,1.0,0.1427910327911377,89.30126953125,226.0
72,0.020490199327468872,0.9921875,0.14485979080200195,89.30126953125,226.0
73,0.010336445644497871,0.9921875,0.14643168449401855,89.30126953125,226.0
74,0.035984836518764496,0.9921875,0.14799189567565918,89.30126953125,226.0
75,0.03364637494087219,0.9765625,0.14952516555786133,89.30126953125,226.0
76,0.06212413311004639,0.984375,0.15152597427368164,89.30126953125,226.0
77,0.03382279351353645,0.984375,0.15402793884277344,89.30126953125,226.0
78,0.016005393117666245,1.0,0.15603208541870117,89.30126953125,226.0
79,0.01699214056134224,0.9921875,0.15803146362304688,89.30126953125,226.0
80,0.018041761592030525,0.9921875,0.1600322723388672,89.30126953125,226.0
81,0.016006283462047577,1.0,0.16153573989868164,89.30126953125,226.0
82,0.02873774617910385,0.984375,0.16253995895385742,89.30126953125,226.0
83,0.056673966348171234,0.9765625,0.16504693031311035,89.30126953125,226.0
84,0.029511451721191406,0.984375,0.16704702377319336,89.30126953125,226.0
85,0.012372346594929695,0.9921875,0.16904711723327637,89.30126953125,226.0
86,0.12103621661663055,0.96875,0.17104721069335938,89.30126953125,226.0
