batch,loss,accuracy,time,memory_allocated,memory_reserved
0,0.012822329066693783,0.9921875,0.0020055770874023438,48.40380859375,52.0
1,0.022150378674268723,0.984375,0.005512714385986328,48.40380859375,52.0
2,0.008389968425035477,1.0,0.007512331008911133,48.40380859375,52.0
3,0.012307832948863506,0.9921875,0.00951242446899414,48.40380859375,52.0
4,0.05200124904513359,0.96875,0.011511564254760742,48.40380859375,52.0
5,0.011597701348364353,0.9921875,0.013511896133422852,48.40380859375,52.0
6,0.02467844821512699,0.9921875,0.015547990798950195,48.40380859375,52.0
7,0.08374921977519989,0.9765625,0.01654338836669922,48.40380859375,52.0
8,0.03135024011135101,0.9765625,0.020543336868286133,48.40380859375,52.0
9,0.04872998967766762,0.9765625,0.02254509925842285,48.40380859375,52.0
10,0.06745997816324234,0.9921875,0.0235440731048584,48.40380859375,52.0
11,0.017173176631331444,0.9921875,0.02686595916748047,48.40380859375,52.0
12,0.014793775044381618,0.9921875,0.028865337371826172,48.40380859375,52.0
13,0.01785231940448284,0.9921875,0.030865192413330078,48.40380859375,52.0
14,0.02769424393773079,0.984375,0.03186845779418945,48.40380859375,52.0
15,0.0248916894197464,0.984375,0.03437924385070801,48.40380859375,52.0
16,0.0017667063511908054,1.0,0.036379098892211914,48.40380859375,52.0
17,0.01586276851594448,0.984375,0.03837919235229492,48.40380859375,52.0
18,0.05766664445400238,0.984375,0.04037904739379883,48.40380859375,52.0
19,0.04518003389239311,0.984375,0.04237651824951172,48.40380859375,52.0
20,0.002786163240671158,1.0,0.0444035530090332,48.40380859375,52.0
21,0.014106571674346924,0.9921875,0.04640507698059082,48.40380859375,52.0
22,0.008267659693956375,1.0,0.04840397834777832,48.40380859375,52.0
23,0.023305481299757957,0.984375,0.050403594970703125,48.40380859375,52.0
24,0.018352888524532318,0.9921875,0.05240440368652344,48.40380859375,52.0
25,0.009253222495317459,0.9921875,0.055472612380981445,48.40380859375,52.0
26,0.048009201884269714,0.9765625,0.05847287178039551,48.40380859375,52.0
27,0.040135473012924194,0.984375,0.06047320365905762,48.40380859375,52.0
28,0.027815332636237144,0.9921875,0.061472177505493164,48.40380859375,52.0
29,0.003706760471686721,1.0,0.06347441673278809,48.40380859375,52.0
30,0.022052589803934097,0.984375,0.06556081771850586,48.40380859375,52.0
31,0.007546932436525822,1.0,0.06756043434143066,48.40380859375,52.0
32,0.002118299715220928,1.0,0.06855964660644531,48.40380859375,52.0
33,0.008785626851022243,0.9921875,0.07056045532226562,48.40380859375,52.0
34,0.05216941982507706,0.96875,0.07256031036376953,48.40380859375,52.0
35,0.025516251102089882,0.984375,0.07466006278991699,48.40380859375,52.0
36,0.012960843741893768,0.9921875,0.07765746116638184,48.40380859375,52.0
37,0.07433347404003143,0.984375,0.07865786552429199,48.40380859375,52.0
38,0.02207738533616066,0.9921875,0.0806584358215332,48.40380859375,52.0
39,0.019286971539258957,0.984375,0.08266043663024902,48.40380859375,52.0
40,0.004211062099784613,1.0,0.0847012996673584,48.40380859375,52.0
41,0.02873540110886097,0.9921875,0.08569979667663574,48.40380859375,52.0
42,0.00866205245256424,1.0,0.0887000560760498,48.40380859375,52.0
43,0.043856240808963776,0.984375,0.0906987190246582,48.40380859375,52.0
44,0.07956764101982117,0.984375,0.09269881248474121,48.40380859375,52.0
45,0.1061113104224205,0.9609375,0.0947573184967041,48.40380859375,52.0
46,0.023437412455677986,0.984375,0.09675335884094238,48.40380859375,52.0
47,0.009242689236998558,1.0,0.09875369071960449,48.40380859375,52.0
48,0.008889292366802692,1.0,0.10025644302368164,48.40380859375,52.0
49,0.06876950711011887,0.9921875,0.10226130485534668,48.40380859375,52.0
50,0.08420561254024506,0.984375,0.10449552536010742,48.40380859375,52.0
51,0.017987750470638275,0.9921875,0.10649657249450684,48.40380859375,52.0
52,0.010541697032749653,0.9921875,0.10749506950378418,48.40380859375,52.0
53,0.0342654287815094,0.984375,0.10949516296386719,48.40380859375,52.0
54,0.03959611803293228,0.9765625,0.11149477958679199,48.40380859375,52.0
55,0.004503270611166954,1.0,0.113494873046875,48.40380859375,52.0
56,0.05933280289173126,0.9765625,0.11466264724731445,48.40380859375,52.0
57,0.03714139014482498,0.9765625,0.11666107177734375,48.40380859375,52.0
58,0.019738733768463135,0.9921875,0.11866235733032227,48.40380859375,52.0
59,0.012676549144089222,0.9921875,0.12166118621826172,48.40380859375,52.0
60,0.07582271099090576,0.984375,0.12416672706604004,48.40380859375,52.0
61,0.011155578307807446,0.9921875,0.1251695156097412,48.40380859375,52.0
62,0.017157498747110367,0.9921875,0.1271684169769287,48.40380859375,52.0
63,0.022490207105875015,0.984375,0.12917089462280273,48.40380859375,52.0
64,0.022033829241991043,0.984375,0.13116741180419922,48.40380859375,52.0
65,0.07253820449113846,0.9921875,0.13216924667358398,48.40380859375,52.0
66,0.018908655270934105,0.984375,0.1356825828552246,48.40380859375,52.0
