epoch,train_loss,val_loss,val_accuracy,time_seconds,memory_allocated_mb,memory_reserved_mb
1,0.11101697577421238,0.06480946686166465,0.9733333333333334,20.278738498687744,48.39501953125,60.0
2,0.07321761108538741,0.04935661943851632,0.9794,17.29596972465515,48.39501953125,60.0
3,0.05452721666245018,0.047898775339655746,0.9824,17.381353616714478,48.39501953125,60.0
4,0.05274031281534816,0.04716751455535731,0.9824,17.394022941589355,48.39501953125,60.0
5,0.057522970579631544,0.06768212552626872,0.9731777777777778,17.200134754180908,48.39501953125,60.0
6,0.04963962438542993,0.0550712535649919,0.9786666666666667,17.246570587158203,48.39501953125,60.0
7,0.046127920798003326,0.09073887385470285,0.9695333333333334,17.332255601882935,48.39501953125,60.0
8,0.06801044458317945,0.03610286853720688,0.9859111111111111,17.398589849472046,48.39501953125,60.0
9,0.05268624498685374,0.03824464038503224,0.9854,17.3138267993927,48.39501953125,60.0
10,0.03826220525707596,0.036117393040926385,0.9864222222222222,17.2581627368927,48.39501953125,60.0
11,0.04387606394427246,0.04193020539804076,0.9858888888888889,17.406633615493774,48.39501953125,60.0
12,0.039022396801656485,0.03809854408113593,0.9852666666666666,17.378442764282227,48.39501953125,60.0
13,0.03668250675753865,0.03627451281069873,0.9871333333333333,17.25267767906189,48.39501953125,60.0
14,0.05747819283485099,0.04111469676205492,0.9868444444444444,17.258646965026855,48.39501953125,60.0
15,0.03779903352213768,0.05091397205383559,0.9824222222222222,17.37163019180298,48.39501953125,60.0
16,0.04322380998498482,0.0392368258908391,0.9861333333333333,17.246793746948242,48.39501953125,60.0
17,0.03605413649572851,0.037550642282605455,0.9846,17.404574871063232,48.39501953125,60.0
18,0.03445250769418203,0.032768368679998355,0.9875111111111111,17.288233518600464,48.39501953125,60.0
19,0.03497970420333723,0.04088640930455189,0.9861111111111112,17.396974563598633,48.39501953125,60.0
20,0.03499253480495133,0.03349151108208885,0.9866888888888888,17.244298219680786,48.39501953125,60.0
