epoch,train_loss,val_loss,val_accuracy,time_seconds,memory_allocated_mb,memory_reserved_mb
1,0.10962362320228758,0.06860310115078662,0.9741333333333333,10.854284763336182,90.24169921875,232.0
2,0.06716585414734426,0.04765466765520421,0.9828333333333333,9.584027290344238,90.24169921875,228.0
3,0.05517288092081137,0.05476638161517838,0.9740666666666666,9.141244173049927,90.24169921875,228.0
4,0.049482763464812875,0.04340477106260492,0.9854,9.090209007263184,90.24169921875,228.0
5,0.04646297756938342,0.05892501396543168,0.9695666666666667,9.208195924758911,90.24169921875,228.0
6,0.0473171459573493,0.04378829542151157,0.9859,9.68349003791809,90.24169921875,228.0
7,0.04293738639938187,0.0343739944569608,0.9871666666666666,8.34132194519043,90.24169921875,228.0
8,0.04156321191788231,0.0361359214469632,0.9871666666666666,8.499494314193726,90.24169921875,228.0
9,0.03995278870245915,0.039705649405678216,0.9849666666666667,9.203551292419434,90.24169921875,228.0
10,0.0404001642157957,0.03452464348557306,0.9868666666666667,9.060344934463501,90.24169921875,228.0
